Περιοχή,Είδος,Κατάστημα,Νομός,Διεύθυνση,TK,Τηλέφωνα
ΜΟΝΗ ΤΙΜΙΟΥ ΠΡΟΔΡΟΜΟΥ,ΔΠ,ΒΡ ΒΕΡΟΙΑ,ΗΜΑΘΙΑΣ,ΘΕΣΣΑΛΟΝΙΚΗΣ 50,59150,23310-75400
ΜΟΝΗ ΤΙΜΙΟΥ ΠΡΟΔΡΟΜΟΥ ΣΕΡΡΩΝ,,ΣΡ ΣΕΡΡΕΣ,ΣΕΡΡΩΝ,ΒΕΝΙΖΕΛΟΥ 91,62500,23210-50889 & 23210-50887
ΜΟΝΗ ΤΙΜΙΟΥ ΣΤΑΥΡΟΥ,ΔΠ,ΣΜ ΣΑΜΟΣ,ΣΑΜΟΥ,ΘΕΜ. ΣΟΦΟΥΛΗ & Ι. ΛΕΚΑΤΗ 1,83103,22730-80788
ΜΟΝΗ ΥΠΕΡΑΓΙΑΣ ΘΕΟΤΟΚΟΥ ΑΤΡΟΥ,ΔΠ,ΚΦ ΚΕΦΑΛΛΟΝΙΑ,ΚΕΦΑΛΛΗΝΙΑΣ,Γεωργίου Βεργωτή 42,28086,26710-28002 & 26710-28028
ΜΟΝΗ ΥΠΕΡΑΓΙΑΣ ΘΕΟΤΟΚΟΥ ΚΗΠΟΥΡΑΙΩΝ,ΔΠ,ΚΦ ΚΕΦΑΛΛΟΝΙΑ,ΚΕΦΑΛΛΗΝΙΑΣ,Γεωργίου Βεργωτή 42,28200,26710-28002 & 26710-28028
ΜΟΝΗ ΥΠΕΡΑΓΙΑΣ ΘΕΟΤΟΚΟΥ ΜΥΡΤΙΔΙΩΝ,ΔΠ,ΚΡ ΚΕΡΚΥΡΑ,ΚΕΡΚΥΡΑΣ,ΣΤΡ.ΚΟΚΟΝΕΤΣΗ 10 (ΕΝΑΝΤΙ ΛΙΜΕΝΑΡΧ.),49150,26610-45791
ΜΟΝΗ ΦΑΝΕΡΩΜΕΝΗΣ,ΔΠ,ΣΠ ΣΠΑΡΤΗ,ΛΑΚΩΝΙΑΣ,ΛΕΩΝΙΔΟΥ 40,23150,27310-28403
ΜΟΝΗ ΦΙΛΟΘΕΟΥ,ΔΠ,ΚΥ ΚΑΡΥΕΣ ΑΓ.ΟΡΟΥΣ,ΧΑΛΚΙΔΙΚΗΣ,ΚΑΡΥΕΣ ΑΓΙΟΥ ΟΡΟΥΣ,63086,23770-23773
ΜΟΝΗ ΦΡΑΓΚΟΠΗΔΗΜΑΤΟΣ,ΔΠ,ΠΥ ΠΥΡΓΟΣ,ΗΛΕΙΑΣ,Υψηλάντου 22,27150,26210-25791
ΜΟΝΗ ΧΙΛΙΑΝΔΑΡΙΟΥ,ΔΠ,ΚΥ ΚΑΡΥΕΣ ΑΓ.ΟΡΟΥΣ,ΧΑΛΚΙΔΙΚΗΣ,ΚΑΡΥΕΣ ΑΓΙΟΥ ΟΡΟΥΣ,63086,23770-23773
ΜΟΝΗ ΧΡΙΣΤΟΥ ΔΑΣΟΥΣ,ΔΠ,ΠΑ ΠΑΡΟΣ,ΚΥΚΛΑΔΩΝ,ΠΕΡΙΦΕΡΕΙΑΚΟΣ ΠΑΡΟΙΚΙΑΣ ΠΑΡΟΥ,84400,22840-24254
ΜΟΝΗ ΧΡΥΣΟΣΚΑΛΙΤΙΣΣΗΣ,ΔΠ,ΧΝ ΧΑΝΙΑ (ΚΕΝΤΡΙΚΟ),ΧΑΝΙΩΝ,ΑΝΑΓΝ. ΓΟΓΟΝΗ 129,73400,28210-92520
ΜΟΝΗ ΧΡΥΣΟΣΤΟΜΟΥ,,ΝΞ ΝΑΞΟΣ,ΚΥΚΛΑΔΩΝ,"ΘΕΣΗ ΕΛΛΗ, ΧΩΡΑ ΝΑΞΟΥ",84300,22850-23225
ΜΟΝΟΑΜΠΕΛΕΣ,,ΚΦ ΚΕΦΑΛΛΟΝΙΑ,ΚΕΦΑΛΛΗΝΙΑΣ,Γεωργίου Βεργωτή 42,28100,26710-28002 & 26710-28028
ΜΟΝΟΒΡΥΣΗ,,ΣΡ ΣΕΡΡΕΣ,ΣΕΡΡΩΝ,ΒΕΝΙΖΕΛΟΥ 91,62500,23210-50889 & 23210-50887
ΜΟΝΟΔΕΝΔΡΙ (ΑΧΑΙΑΣ),,ΠΚ ΠΑΤΡΑ 4 (ΚΑΤΩ ΑΧΑΙΑ),ΑΧΑΙΑΣ,Αθηνάς 15,25002,26930-22227 & 22207
ΜΟΝΟΔΕΝΔΡΙ (ΙΩΑΝΝΙΝΩΝ),ΔΠ,ΙΒ ΙΩΑΝΝΙΝΑ 2,ΙΩΑΝΝΙΝΩΝ,ΚΑΛΛΑΡΗ 47,45500,26510-27074
ΜΟΝΟΔΕΝΔΡΙ Η ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ (ΑΧΑΙΑΣ),,ΠΠ ΠΑΤΡΑ 2,ΑΧΑΙΑΣ,ΑΚΡΩΤΗΡΙΟΥ 90,26500,2610-334863
ΜΟΝΟΔΕΝΔΡΟ,ΔΠ,ΙΒ ΙΩΑΝΝΙΝΑ 2,ΙΩΑΝΝΙΝΩΝ,ΚΑΛΛΑΡΗ 47,48300,26510-27074
ΜΟΝΟΔΡΥ,ΔΠ,ΕΝ ΑΛΙΒΕΡΙ,ΕΥΒΟΙΑΣ,ΤΑΜΥΝΑΙΩΝ 45,34009,22230-29720
ΜΟΝΟΚΑΜΠΙ,ΔΠ,ΙΚ ΙΚΑΡΙΑ,ΣΑΜΟΥ,ΑΓΙΟΣ ΚΗΡΥΚΟΣ,83300,22750-22444
ΜΟΝΟΚΑΡΥΑ,ΔΠ,ΕΒ ΙΣΤΙΑΙΑ,ΕΥΒΟΙΑΣ,ΑΘ. ΚΟΡΦΙΑΤΗ 35,34200,22260-56007
ΜΟΝΟΚΑΡΥΔΙΑ,ΔΠ,ΚΓ ΚΑΒΑΛΑ,ΚΑΒΑΛΑΣ,ΑΒΕΡΩΦ 5,64008,2510-229000 & 229001
ΜΟΝΟΚΚΛΗΣΙΑ,,ΣΡ ΣΕΡΡΕΣ,ΣΕΡΡΩΝ,ΒΕΝΙΖΕΛΟΥ 91,62500,23210-50889 & 23210-50887
ΜΟΝΟΛΙΑ,ΔΠ,ΧΣ ΧΙΟΣ,ΧΙΟΥ,Καλουτά 28,82150,22710-25468
ΜΟΝΟΛΙΑ (ΝΗΣΙΔΑ),ΔΠ,ΕΒ ΙΣΤΙΑΙΑ,ΕΥΒΟΙΑΣ,ΑΘ. ΚΟΡΦΙΑΤΗ 35,34300,22260-56007
ΜΟΝΟΛΙΘΙ (ΙΩΑΝΝΙΝΩΝ),ΔΠ,ΙΒ ΙΩΑΝΝΙΝΑ 2,ΙΩΑΝΝΙΝΩΝ,ΚΑΛΛΑΡΗ 47,45500,26510-27074
ΜΟΝΟΛΙΘΙ (ΚΙΛΚΙΣ),,ΚΙ ΚΙΛΚΙΣ,ΚΙΛΚΙΣ,ΕΛΕΥΘΕΡΙΟΥ ΒΕΝΙΖΕΛΟΥ 40,61100,23410-29454
ΜΟΝΟΛΙΘΟΣ (ΡΟΔΟΥ ΔΩΔΕΚΑΝΗΣΟΥ),ΔΠ,ΡΔ ΡΟΔΟΣ (ΚΕΝΤΡΙΚΟ),ΔΩΔ/ΝΗΣΟΥ,ΑΥΣΤΡΑΛΙΑΣ 60,85108,22410-27000 & 2241601510
ΜΟΝΟΛΙΘΟΣ (ΣΑΝΤΟΡΙΝΗΣ ΚΥΚΛΑΔΩΝ),ΔΠ,ΣΝ ΣΑΝΤΟΡΙΝΗ,ΚΥΚΛΑΔΩΝ,"ΕΠΑΡΧΙΑΚΗ ΟΔΟΣ ΦΗΡΩΝ-ΜΕΣΣΑΡΙΑΣ,θΕΣΗ ΚΑΡΤΕΡΑΔΟΣ",84700,22860-25700
ΜΟΝΟΛΟΦΟ,,ΘΟ ΜΟΝΑΣΤΗΡΙΟΥ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΜΟΝΑΣΤΗΡΙΟΥ 191,54500,2310-567462
ΜΟΝΟΝΑΥΤΗΣ,ΔΠ,ΗΤ ΒΟΥΤΕΣ ΗΡΑΚΛΕΙΟΥ,ΗΡΑΚΛΕΙΟΥ,ΔΙΑΣΤΑΥΡΩΣΗ ΠΕΠΑΓΝΗ- Ι.Τ.Ε.,71500,2810-542255
ΜΟΝΟΠΑΡΙ,ΔΠ,ΡΘ ΡΕΘΥΜΝΟ,ΡΕΘΥΜΝΟΥ,ΣΤΑΜΑΘΙΟΥΔΑΚΗ 38,74150,28310-35535 & 26205
ΜΟΝΟΠΑΤΙ ΚΟΝΤΙΤΑ,,ΒΑ ΜΕΝΙΔΙ,ΑΤΤΙΚΗΣ,ΛΕΩΦ. ΠΑΡΝΗΘΟΣ 132,13677,210-2444714 & 2401820
ΜΟΝΟΠΗΓΑΔΟ,ΔΠ,ΘΘ ΘΕΡΜΗ,ΘΕΣΣΑΛΟΝΙΚΗΣ,ΡΑΦΑΗΛΙΔΗ ΠΑΠΑΔΑΚΗ 3,57006,2310-466996 & 2310-487655
ΜΟΝΟΠΟΛΑΤΑ,ΔΠ,ΚΦ ΚΕΦΑΛΛΟΝΙΑ,ΚΕΦΑΛΛΗΝΙΑΣ,Γεωργίου Βεργωτή 42,28200,26710-28002 & 26710-28028
ΜΟΝΟΠΥΛΟ,ΔΠ,ΚΣ ΚΑΣΤΟΡΙΑ,ΚΑΣΤΟΡΙΑΣ,ΓΡΑΜΜΟΥ 39,52051,24670-82550
ΜΟΝΟΣΠΙΤΑ,ΔΠ,ΒΡ ΒΕΡΟΙΑ,ΗΜΑΘΙΑΣ,ΘΕΣΣΑΛΟΝΙΚΗΣ 50,59035,23310-75400
ΜΟΝΟΧΩΡΟ,ΔΠ,ΜΡ ΜΟΙΡΕΣ,ΗΡΑΚΛΕΙΟΥ,25ΗΣ ΜΑΡΤΙΟΥ 70  (ΕΝΑΝΤΙ ΗΡΩΟΥ),70400,28920-29147
ΜΟΝΤΕ ΣΜΙΘ,,ΡΔ ΡΟΔΟΣ (ΚΕΝΤΡΙΚΟ),ΔΩΔ/ΝΗΣΟΥ,ΑΥΣΤΡΑΛΙΑΣ 60,85133,22410-27000 & 2241601510
ΜΟΡΑΙΝΑ,ΔΠ,ΚΛ ΚΑΛΑΜΑΤΑ,ΜΕΣΣΗΝΙΑΣ,ΨΑΡΩΝ 94,24300,27210-88271
ΜΟΡΑΙΤΙΚΑ,ΔΠ,ΚΡ ΚΕΡΚΥΡΑ,ΚΕΡΚΥΡΑΣ,ΣΤΡ.ΚΟΚΟΝΕΤΣΗ 10 (ΕΝΑΝΤΙ ΛΙΜΕΝΑΡΧ.),49084,26610-45791
ΜΟΡΙΑ (ΗΡΑΚΛΕΙΟ),ΔΠ,ΜΡ ΜΟΙΡΕΣ,ΗΡΑΚΛΕΙΟΥ,25ΗΣ ΜΑΡΤΙΟΥ 70  (ΕΝΑΝΤΙ ΗΡΩΟΥ),70010,28920-29147
ΜΟΡΙΑ (ΛΕΣΒΟΣ),ΔΠ,ΜΤ ΜΥΤΙΛΗΝΗ,ΛΕΣΒΟΥ,ΕΛΕΥΘΕΡΙΟΥ ΒΕΝΙΖΕΛΟΥ 20,81150,22510-46500
ΜΟΡΟΝΙ,ΔΠ,ΜΡ ΜΟΙΡΕΣ,ΗΡΑΚΛΕΙΟΥ,25ΗΣ ΜΑΡΤΙΟΥ 70  (ΕΝΑΝΤΙ ΗΡΩΟΥ),70400,28920-29147
ΜΟΡΟΣΚΛΑΒΟ,ΔΠ,ΑΓ ΑΓΡΙΝΙΟ,ΑΙΤΩΛ/ΝΙΑΣ,ΜΑΒΙΛΗ 12,30008,26410-33141 & 26410-33241
ΜΟΡΤΕΡΟ,,ΒΗ ΚΗΦΙΣΙΑ,ΑΤΤΙΚΗΣ,Ελαιών 56,14671,210-8000525
ΜΟΡΤΙΑ,ΔΠ,ΒΛ ΒΟΛΟΣ,ΜΑΓΝΗΣΙΑΣ,Ιάσονος 1,37006,24210-36100
ΜΟΡΦΗ,ΔΠ,ΚΖ ΚΟΖΑΝΗ,ΚΟΖΑΝΗΣ,ΤΕΡΜΑ ΦΙΛΙΠΠΟΥ Β',50007,24610-21100 & 24610-33446
ΜΟΡΦΙ,ΔΠ,ΗΓ ΗΓΟΥΜΕΝΙΤΣΑ,ΘΕΣΠΡΩΤΙΑΣ,ΙΩΑΝΝΙΝΩΝ 1,48060,26650-28111 & 26650-22987
ΜΟΡΦΟΒΟΥΝΙ,ΔΠ,ΚΑ ΚΑΡΔΙΤΣΑ,ΚΑΡΔΙΤΣΗΣ,ΚΑΡΑΙΣΚΑΚΗ 24,43150,24410-25983
ΜΟΣΙΑ,ΔΠ,ΚΞ ΚΙΑΤΟ,ΚΟΡΙΝΘΟΥ,ΕΘΝΙΚΗΣ .ΑΝΤΙΣΤΑΣΕΩΣ 45,20014,27420-21090
ΜΟΣΧΑΤΟ,,ΒΤ ΜΟΣΧΑΤΟ,ΑΤΤΙΚΗΣ,ΧΡΥΣΟΣΤΟΜΟΥ ΣΜΥΡΝΗΣ 117Α,18344,210-4838410
ΜΟΣΧΑΤΟ,,ΒΤ ΜΟΣΧΑΤΟ,ΑΤΤΙΚΗΣ,ΧΡΥΣΟΣΤΟΜΟΥ ΣΜΥΡΝΗΣ 117Α,18346,210-4838410
ΜΟΣΧΑΤΟ,,ΒΤ ΜΟΣΧΑΤΟ,ΑΤΤΙΚΗΣ,ΧΡΥΣΟΣΤΟΜΟΥ ΣΜΥΡΝΗΣ 117Α,18345,210-4838410
ΜΟΣΧΑΤΟ (ΚΑΡΔΙΤΣΑΣ),,ΚΑ ΚΑΡΔΙΤΣΑ,ΚΑΡΔΙΤΣΗΣ,ΚΑΡΑΙΣΚΑΚΗ 24,43100,24410-25983
ΜΟΣΧΟΚΑΡΥΑ,ΔΠ,ΛΜ ΛΑΜΙΑ,ΦΘΙΩΤΙΔΟΣ,ΘΕΡΜΟΠΥΛΩΝ 23,35150,22310-23901 & 22310-51553
ΜΟΣΧΟΜΑΝΤΣΑ,ΔΠ,ΙΒ ΙΩΑΝΝΙΝΑ 2,ΙΩΑΝΝΙΝΩΝ,ΚΑΛΛΑΡΗ 47,44002,26510-27074
ΜΟΣΧΟΠΟΤΑΜΟΣ,ΔΠ,ΚΤ ΚΑΤΕΡΙΝΗ,ΠΙΕΡΙΑΣ,ΘΕΣΣΑΛΟΝΙΚΗΣ 78-80,60150,23510-30000 & 23510-34444
ΜΟΣΧΟΥΛΑ,,ΠΥ ΠΥΡΓΟΣ,ΗΛΕΙΑΣ,Υψηλάντου 22,27055,26210-25791
ΜΟΣΧΟΦΥΤΟ,ΔΠ,ΤΡ ΤΡΙΚΑΛΑ,ΤΡΙΚΑΛΩΝ,ΒΑΣ. ΤΣΙΤΣΑΝΗ 41,42032,24310-20081 & 24310-72646
ΜΟΣΧΟΧΩΡΙ (ΛΑΡΙΣΗΣ),ΔΠ,ΛΤ ΛΑΡΙΣΑ 2,ΛΑΡΙΣΗΣ,ΗΡΩΩΝ ΠΟΛΥΤΕΧΝΕΙΟΥ 60,41500,2410-619009
ΜΟΣΧΟΧΩΡΙ (ΜΕΣΣΗΝΙΑΣ),,ΚΛ ΚΑΛΑΜΑΤΑ,ΜΕΣΣΗΝΙΑΣ,ΨΑΡΩΝ 94,24200,27210-88271
ΜΟΣΧΟΧΩΡΙ (ΠΙΕΡΙΑΣ),,ΚΤ ΚΑΤΕΡΙΝΗ,ΠΙΕΡΙΑΣ,ΘΕΣΣΑΛΟΝΙΚΗΣ 78-80,60150,23510-30000 & 23510-34444
ΜΟΣΧΟΧΩΡΙ (ΦΘΙΩΤΙΔΑΣ),,ΛΜ ΛΑΜΙΑ,ΦΘΙΩΤΙΔΟΣ,ΘΕΡΜΟΠΥΛΩΝ 23,35150,22310-23901 & 22310-51553
ΜΟΤΖΙΑΝΑ,ΔΠ,ΧΝ ΧΑΝΙΑ (ΚΕΝΤΡΙΚΟ),ΧΑΝΙΩΝ,ΑΝΑΓΝ. ΓΟΓΟΝΗ 129,73004,28210-92520
ΜΟΥΓΚΕΛΑΤΙΚΑ,ΔΠ,ΚΡ ΚΕΡΚΥΡΑ,ΚΕΡΚΥΡΑΣ,ΣΤΡ.ΚΟΚΟΝΕΤΣΗ 10 (ΕΝΑΝΤΙ ΛΙΜΕΝΑΡΧ.),49082,26610-45791
ΜΟΥΔΡΟΣ,ΔΠ,ΛΗ ΛΗΜΝΟΣ,ΛΕΣΒΟΥ,ΓΑΡΟΥΦΑΛΙΔΟΥ 48,81401,22540-23429
ΜΟΥΖΑΚΑ,,ΒΑ ΜΕΝΙΔΙ,ΑΤΤΙΚΗΣ,ΛΕΩΦ. ΠΑΡΝΗΘΟΣ 132,13344,210-2444714 & 2401820
ΜΟΥΖΑΚΑΙΙΚΑ,ΔΠ,ΠΡ ΠΡΕΒΕΖΑ,ΠΡΕΒΕΖΑΣ,Λεωφόρος Ιωαννίνων 212,48062,26820-28128
ΜΟΥΖΑΚΑΙΟΙ,ΔΠ,ΙΝ ΙΩΑΝΝΙΝΑ,ΙΩΑΝΝΙΝΩΝ,ΔΩΔΩΝΗΣ 161,45500,26510-66966
ΜΟΥΖΑΚΗ,,ΑΧ ΧΑΛΑΝΔΡΙ,ΑΤΤΙΚΗΣ,Αποστολοπούλου 14,15236,210-6892200
ΜΟΥΖΑΚΙ (ΖΑΚΥΝΘΟΥ),,ΖΚ ΖΑΚΥΝΘΟΣ,ΖΑΚΥΝΘΟΥ,ΘΕΣΗ ΦΛΟΚΑ ΓΑΪΤΑΝΙΟΥ,29092,26950-29900
ΜΟΥΖΑΚΙ (ΗΛΕΙΑΣ),ΔΠ,ΠΥ ΠΥΡΓΟΣ,ΗΛΕΙΑΣ,Υψηλάντου 22,27064,26210-25791
ΜΟΥΖΑΚΙ (ΚΑΡΔΙΤΣΑΣ),ΔΠ,ΚΑ ΚΑΡΔΙΤΣΑ,ΚΑΡΔΙΤΣΗΣ,ΚΑΡΑΙΣΚΑΚΗ 24,43060,24410-25983
ΜΟΥΖΑΚΙ (ΜΕΣΣΗΝΙΑΣ),ΔΠ,ΚΛ ΚΑΛΑΜΑΤΑ,ΜΕΣΣΗΝΙΑΣ,ΨΑΡΩΝ 94,24400,27210-88271
ΜΟΥΖΙΛΟ,ΔΠ,ΚΕ ΚΑΡΠΕΝΗΣΙ,ΕΥΡΥΤΑΝΙΑΣ,ΑΘ. ΔΙΑΚΟΥ 3,36100,22370-22313
ΜΟΥΖΟΥΡΑΣ,ΔΠ,ΧΝ ΧΑΝΙΑ (ΚΕΝΤΡΙΚΟ),ΧΑΝΙΩΝ,ΑΝΑΓΝ. ΓΟΓΟΝΗ 129,73500,28210-92520
ΜΟΥΚΟΒΙΝΑ,ΔΠ,ΙΒ ΙΩΑΝΝΙΝΑ 2,ΙΩΑΝΝΙΝΩΝ,ΚΑΛΛΑΡΗ 47,48300,26510-27074
ΜΟΥΛΑΜΕΡΙΑΝΑ,ΔΠ,ΧΝ ΧΑΝΙΑ (ΚΕΝΤΡΙΚΟ),ΧΑΝΙΩΝ,ΑΝΑΓΝ. ΓΟΓΟΝΗ 129,73002,28210-92520
ΜΟΥΛΚΙ,ΔΠ,ΚΞ ΚΙΑΤΟ,ΚΟΡΙΝΘΟΥ,ΕΘΝΙΚΗΣ .ΑΝΤΙΣΤΑΣΕΩΣ 45,20200,27420-21090
ΜΟΥΝΤΑΔΟΣ,,ΤΝ ΤΗΝΟΣ,ΚΥΚΛΑΔΩΝ,25ης Μαρτίου και Ζανάκη Αλαβάνου,84200,22830-25583
ΜΟΥΝΤΑΝΙΣΤΙΚΑ,ΔΠ,ΣΠ ΣΠΑΡΤΗ,ΛΑΚΩΝΙΑΣ,ΛΕΩΝΙΔΟΥ 40,23062,27310-28403
ΜΟΥΝΤΡΟΣ,ΔΠ,ΡΘ ΡΕΘΥΜΝΟ,ΡΕΘΥΜΝΟΥ,ΣΤΑΜΑΘΙΟΥΔΑΚΗ 38,74055,28310-35535 & 26205
ΜΟΥΡΓΚΑΝΗ,ΔΠ,ΤΡ ΤΡΙΚΑΛΑ,ΤΡΙΚΑΛΩΝ,ΒΑΣ. ΤΣΙΤΣΑΝΗ 41,42200,24310-20081 & 24310-72646
ΜΟΥΡΕΣΙ,ΔΠ,ΒΛ ΒΟΛΟΣ,ΜΑΓΝΗΣΙΑΣ,Ιάσονος 1,37001,24210-36100
ΜΟΥΡΙ,ΔΠ,ΧΝ ΧΑΝΙΑ (ΚΕΝΤΡΙΚΟ),ΧΑΝΙΩΝ,ΑΝΑΓΝ. ΓΟΓΟΝΗ 129,73011,28210-92520
ΜΟΥΡΙ (ΓΕΩΡΓΙΟΥΠΟΛΗΣ ΧΑΝΙΩΝ),ΔΠ,ΧΝ ΧΑΝΙΑ (ΚΕΝΤΡΙΚΟ),ΧΑΝΙΩΝ,ΑΝΑΓΝ. ΓΟΓΟΝΗ 129,73007,28210-92520
ΜΟΥΡΙ (ΜΥΘΗΜΝΗΣ ΧΑΝΙΩΝ),ΔΠ,ΧΝ ΧΑΝΙΑ (ΚΕΝΤΡΙΚΟ),ΧΑΝΙΩΝ,ΑΝΑΓΝ. ΓΟΓΟΝΗ 129,73400,28210-92520
ΜΟΥΡΙΑ (ΑΡΚΑΔΙΑΣ),ΔΠ,ΤΙ ΤΡΙΠΟΛΗ,ΑΡΚΑΔΙΑΣ,ΕΛΕΥΘΕΡΙΟΥ ΒΕΝΙΖΕΛΟΥ 28,25004,2710-221806
ΜΟΥΡΙΑ (ΗΛΕΙΑΣ),ΔΠ,ΠΥ ΠΥΡΓΟΣ,ΗΛΕΙΑΣ,Υψηλάντου 22,27065,26210-25791
ΜΟΥΡΙΑ (ΤΡΙΚΑΛΩΝ),ΔΠ,ΤΡ ΤΡΙΚΑΛΑ,ΤΡΙΚΑΛΩΝ,ΒΑΣ. ΤΣΙΤΣΑΝΗ 41,42150,24310-20081 & 24310-72646
ΜΟΥΡΙΑΤΑΔΑ,ΔΠ,ΚΛ ΚΑΛΑΜΑΤΑ,ΜΕΣΣΗΝΙΑΣ,ΨΑΡΩΝ 94,24500,27210-88271
ΜΟΥΡΙΕΣ,,ΠΛ ΠΟΛΥΓΥΡΟΣ,ΧΑΛΚΙΔΙΚΗΣ,ΠΟΛΥΤΕΧΝΕΙΟΥ 23,63200,23710-23277
ΜΟΥΡΙΕΣ,ΔΠ,ΚΙ ΚΙΛΚΙΣ,ΚΙΛΚΙΣ,ΕΛΕΥΘΕΡΙΟΥ ΒΕΝΙΖΕΛΟΥ 40,61003,23410-29454
ΜΟΥΡΙΚΙ (ΑΧΑΙΑΣ),ΔΠ,ΑΙ ΑΙΓΙΟ,ΑΧΑΙΑΣ,Κορίνθου 20,25001,26910-68700
ΜΟΥΡΙΚΙ (ΒΟΙΩΤΙΑΣ),ΔΠ,ΘΒ ΘΗΒΑ,ΒΟΙΩΤΙΑΣ,ΑΥΛΙΔΟΣ 20,32200,22620-29999
ΜΟΥΡΝΕ,ΔΠ,ΡΘ ΡΕΘΥΜΝΟ,ΡΕΘΥΜΝΟΥ,ΣΤΑΜΑΘΙΟΥΔΑΚΗ 38,74053,28310-35535 & 26205
ΜΟΥΡΝΙΑ,ΔΠ,ΜΡ ΜΟΙΡΕΣ,ΗΡΑΚΛΕΙΟΥ,25ΗΣ ΜΑΡΤΙΟΥ 70  (ΕΝΑΝΤΙ ΗΡΩΟΥ),70010,28920-29147
ΜΟΥΡΝΙΕΣ (ΛΑΣΙΘΙΟΥ),ΔΠ,ΙΡ ΙΕΡΑΠΕΤΡΑ,ΛΑΣΙΘΙΟΥ,ΔΗΜΟΚΡΑΤΙΑΣ 53,72200,28420-80300
ΜΟΥΡΝΙΕΣ (ΧΑΝΙΩΝ),,ΧΝ ΧΑΝΙΑ (ΚΕΝΤΡΙΚΟ),ΧΑΝΙΩΝ,ΑΝΑΓΝ. ΓΟΓΟΝΗ 129,73300,28210-92520
ΜΟΥΡΤΕΡΗ,ΔΠ,ΕΝ ΑΛΙΒΕΡΙ,ΕΥΒΟΙΑΣ,ΤΑΜΥΝΑΙΩΝ 45,34009,22230-29720
ΜΟΥΡΤΕΡΟ,ΔΠ,ΛΝ ΑΛΟΝΝΗΣΟΣ,ΜΑΓΝΗΣΙΑΣ,ΠΑΡΑΛΙΑ ΑΛΟΝΝΗΣΟΥ,37005,24240-66424
ΜΟΥΡΤΖΑΝΑ,ΔΠ,ΡΘ ΡΕΘΥΜΝΟ,ΡΕΘΥΜΝΟΥ,ΣΤΑΜΑΘΙΟΥΔΑΚΗ 38,74052,28310-35535 & 26205
ΜΟΥΣΑΤΑ,,ΚΦ ΚΕΦΑΛΛΟΝΙΑ,ΚΕΦΑΛΛΗΝΙΑΣ,Γεωργίου Βεργωτή 42,28100,26710-28002 & 26710-28028
ΜΟΥΣΓΕΣ,ΔΠ,ΒΛ ΒΟΛΟΣ,ΜΑΓΝΗΣΙΑΣ,Ιάσονος 1,37006,24210-36100
ΜΟΥΣΘΕΝΗ,ΔΠ,ΚΓ ΚΑΒΑΛΑ,ΚΑΒΑΛΑΣ,ΑΒΕΡΩΦ 5,64008,2510-229000 & 229001
ΜΟΥΣΙΝΟΧΩΡΙ,,ΚΜ ΚΟΜΟΤΗΝΗ,ΡΟΔΟΠΗΣ,ΤΕΡΜΑ ΑΝΑΠΑΥΣΕΩΣ,69150,25310-73700 & 25310-84433
ΜΟΥΣΙΩΝΑΣ,ΔΠ,ΝΔ ΑΝΔΡΟΣ,ΚΥΚΛΑΔΩΝ,ΧΩΡΑ ΑΝΔΡΟΥ,84500,22820-24143 & 22820-24144
ΜΟΥΣΟΥΝΙΤΣΑ,ΔΠ,ΑΦ ΑΜΦΙΣΣΑ,ΦΩΚΙΔΟΣ,Β.ΚΑΝΑΤΑ 1,33053,22650-79288
ΜΟΥΣΟΥΤΑ,ΔΠ,ΗΑ ΑΡΚΑΛΟΧΩΡΙ ΗΡΑΚΛΕΙΟΥ,ΗΡΑΚΛΕΙΟΥ,ΕΛ. ΒΕΝΙΖΕΛΟΥ 208,70300,28910-23700
ΜΟΥΣΤΑ,ΔΠ,ΚΛ ΚΑΛΑΜΑΤΑ,ΜΕΣΣΗΝΙΑΣ,ΨΑΡΩΝ 94,24002,27210-88271
ΜΟΥΣΤΑΚΟΣ,ΔΠ,ΧΝ ΧΑΝΙΑ (ΚΕΝΤΡΙΚΟ),ΧΑΝΙΩΝ,ΑΝΑΓΝ. ΓΟΓΟΝΗ 129,73001,28210-92520
ΜΟΥΤΣΟΥΝΑ,ΔΠ,ΝΞ ΝΑΞΟΣ,ΚΥΚΛΑΔΩΝ,"ΘΕΣΗ ΕΛΛΗ, ΧΩΡΑ ΝΑΞΟΥ",84302,22850-23225
ΜΟΥΧΑ,ΔΠ,ΚΑ ΚΑΡΔΙΤΣΑ,ΚΑΡΔΙΤΣΗΣ,ΚΑΡΑΙΣΚΑΚΗ 24,43100,24410-25983
ΜΟΧΛΟΣ,ΔΠ,ΣΤ ΣΗΤΕΙΑ,ΛΑΣΙΘΙΟΥ,ΑΝΘΕΩΝ 12,72300,28430-20997 & 20999
ΜΟΧΟΣ,ΔΠ,ΧΡ ΧΕΡΣΟΝΗΣΟΣ,ΗΡΑΚΛΕΙΟΥ,Γ.ΣΑΝΟΥΔΑΚΗ 28Γ,70005,28970-25067
ΜΠΑΓΑΙΟΙ,ΔΠ,ΙΝ ΙΩΑΝΝΙΝΑ,ΙΩΑΝΝΙΝΩΝ,ΔΩΔΩΝΗΣ 161,45500,26510-66966
