Περιοχή,Είδος,Κατάστημα,Νομός,Διεύθυνση,TK,Τηλέφωνα
ΑΜΠΕΛΩΝΑΣ (ΘΕΣΠΡΩΤΙΑΣ),ΔΠ,ΗΓ ΗΓΟΥΜΕΝΙΤΣΑ,ΘΕΣΠΡΩΤΙΑΣ,ΙΩΑΝΝΙΝΩΝ 1,46300,26650-28111 & 26650-22987
ΑΜΠΕΛΩΝΑΣ (ΚΑΡΔΙΤΣΑΣ),ΔΠ,ΚΑ ΚΑΡΔΙΤΣΑ,ΚΑΡΔΙΤΣΗΣ,ΚΑΡΑΙΣΚΑΚΗ 24,43200,24410-25983
ΑΜΠΕΛΩΝΑΣ (ΛΑΡΙΣΗΣ),,ΛΤ ΛΑΡΙΣΑ 2,ΛΑΡΙΣΗΣ,ΗΡΩΩΝ ΠΟΛΥΤΕΧΝΕΙΟΥ 60,40400,2410-619009
ΑΜΠΕΛΩΝΕΣ,,ΘΜ ΣΤΑΥΡΟΥΠΟΛΗ,ΘΕΣΣΑΛΟΝΙΚΗΣ,"ΑΡΙΣΤΟΤΕΛΟΥΣ 29, ΕΥΟΣΜΟΣ",56430,2310-559055
ΑΜΠΛΙΑΝΗ Η ΣΤΑΥΡΟΠΗΓΙ,ΔΠ,ΚΕ ΚΑΡΠΕΝΗΣΙ,ΕΥΡΥΤΑΝΙΑΣ,ΑΘ. ΔΙΑΚΟΥ 3,36100,22370-22313
ΑΜΥΓΔΑΛΕΖΑ,,ΒΨ ΑΓ. ΣΤΕΦΑΝΟΣ,ΑΤΤΙΚΗΣ,"ΛΕΩΦ.ΜΑΡΑΘΩΝΟΣ 61-63, ΑΝΟΙΞΗ",14575,210-6217440
ΑΜΥΓΔΑΛΕΖΑ,,ΒΑ ΜΕΝΙΔΙ,ΑΤΤΙΚΗΣ,ΛΕΩΦ. ΠΑΡΝΗΘΟΣ 132,13679,210-2444714 & 2401820
ΑΜΥΓΔΑΛΕΩΝΑΣ,,ΚΓ ΚΑΒΑΛΑ,ΚΑΒΑΛΑΣ,ΑΒΕΡΩΦ 5,64012,2510-229000 & 229001
ΑΜΥΓΔΑΛΗ (ΗΛΕΙΑΣ),ΔΠ,ΑΜ ΑΜΑΛΙΑΔΑ,ΗΛΕΙΑΣ,Κουρογιαννοπούλου 16,27063,26220-23495
ΑΜΥΓΔΑΛΗ (ΚΑΡΔΙΤΣΑΣ),ΔΠ,ΚΑ ΚΑΡΔΙΤΣΑ,ΚΑΡΔΙΤΣΗΣ,ΚΑΡΑΙΣΚΑΚΗ 24,43060,24410-25983
ΑΜΥΓΔΑΛΗ (ΛΑΡΙΣΗΣ),ΔΠ,ΛΤ ΛΑΡΙΣΑ 2,ΛΑΡΙΣΗΣ,ΗΡΩΩΝ ΠΟΛΥΤΕΧΝΕΙΟΥ 60,40003,2410-619009
ΑΜΥΓΔΑΛΙΑ (ΑΡΚΑΔΙΑΣ),ΔΠ,ΑΟ ΑΡΓΟΣ,ΑΡΓΟΛΙΔΑΣ,Μεσσηνίας Αρκαδίας 115,22300,27510-61121
ΑΜΥΓΔΑΛΙΑ (ΑΧΑΙΑΣ),ΔΠ,ΑΙ ΑΙΓΙΟ,ΑΧΑΙΑΣ,Κορίνθου 20,25007,26910-68700
ΑΜΥΓΔΑΛΙΑ (ΕΥΒΟΙΑΣ),ΔΠ,ΕΝ ΑΛΙΒΕΡΙ,ΕΥΒΟΙΑΣ,ΤΑΜΥΝΑΙΩΝ 45,34001,22230-29720
ΑΜΥΓΔΑΛΙΑ (ΚΟΖΑΝΗΣ),ΔΠ,ΚΖ ΚΟΖΑΝΗ,ΚΟΖΑΝΗΣ,ΤΕΡΜΑ ΦΙΛΙΠΠΟΥ Β',50010,24610-21100 & 24610-33446
